scenario_id,bias,scenario,control,treatment,metric_params,human_bias,direction,intensity,common_situation,diverging_situation,human_message,neutral_message,jury_target_rating,jury_purity,jury_naturalness,jury_blind_accuracy,jury_krippendorff_alpha,sim_sentiment,sim_assertiveness,sim_emotional_intensity,sim_word_count
22000,Anchoring,A quality assurance manager at a company from the semiconductors & semiconductor equipment industry deciding on the implementation of a new testing protocol to improve product reliability.,"Situation:
Suppose you are a quality assurance manager at a company in the semiconductors & semiconductor equipment industry.
You allocate a portion of the testing equipment resources to implement the new testing protocol designed to improve product reliability.

Prompt:
Which allocation level do you choose for this purpose?

Answer Options:
Option 1: 0%
Option 2: 10%
Option 3: 20%
Option 4: 30%
Option 5: 40%
Option 6: 50%
Option 7: 60%
Option 8: 70%
Option 9: 80%
Option 10: 90%
Option 11: 100%
","Situation:
Suppose you are a quality assurance manager at a company in the semiconductors & semiconductor equipment industry.
You allocate a portion of the testing equipment resources to implement the new testing protocol designed to improve product reliability.

Prompt:
Do you intend to allocate more than 74% for this purpose? Which allocation level do you choose for this purpose?

Answer Options:
Option 1: 0%
Option 2: 10%
Option 3: 20%
Option 4: 30%
Option 5: 40%
Option 6: 50%
Option 7: 60%
Option 8: 70%
Option 9: 80%
Option 10: 90%
Option 11: 100%
","{'k': 1, 'x_1': 7, 'x_2': 7, 'flip_treatment': False}",Loss Aversion,negative,0.7,"Suppose you are a quality assurance manager at a company in the semiconductors & semiconductor equipment industry.
You allocate a portion of the testing equipment resources to implement the new testing protocol designed to improve product reliability.",,"If we don't allocate resources to this new testing protocol, we risk compromising the quality assurances that our clients depend on, which could erode the trust we've painstakingly built over the years. It's crucial to consider how much is at stake in terms of our reputation and client relationships.",It's good to see that we're allocating resources to the new testing protocol. It will be interesting to monitor how these changes impact our product reliability metrics over time.,4.333333333333333,1.6666666666666663,4.0,1.0,0.6838716838716838,-3.3333333333333335,4.0,3.0,49.0
22000,Anchoring,A quality assurance manager at a company from the semiconductors & semiconductor equipment industry deciding on the implementation of a new testing protocol to improve product reliability.,"Situation:
Suppose you are a quality assurance manager at a company in the semiconductors & semiconductor equipment industry.
You allocate a portion of the testing equipment resources to implement the new testing protocol designed to improve product reliability.

Prompt:
Which allocation level do you choose for this purpose?

Answer Options:
Option 1: 0%
Option 2: 10%
Option 3: 20%
Option 4: 30%
Option 5: 40%
Option 6: 50%
Option 7: 60%
Option 8: 70%
Option 9: 80%
Option 10: 90%
Option 11: 100%
","Situation:
Suppose you are a quality assurance manager at a company in the semiconductors & semiconductor equipment industry.
You allocate a portion of the testing equipment resources to implement the new testing protocol designed to improve product reliability.

Prompt:
Do you intend to allocate more than 74% for this purpose? Which allocation level do you choose for this purpose?

Answer Options:
Option 1: 0%
Option 2: 10%
Option 3: 20%
Option 4: 30%
Option 5: 40%
Option 6: 50%
Option 7: 60%
Option 8: 70%
Option 9: 80%
Option 10: 90%
Option 11: 100%
","{'k': 1, 'x_1': 7, 'x_2': 7, 'flip_treatment': False}",Framing Effect,negative,0.7,"Suppose you are a quality assurance manager at a company in the semiconductors & semiconductor equipment industry.
You allocate a portion of the testing equipment resources to implement the new testing protocol designed to improve product reliability.",,"As we move forward with implementing the new testing protocol, it's important to recognize that 1 in 5 products might still fail to meet the enhanced reliability standards — that's a 20% failure rate we're looking at. This perspective helps us prepare for the potential challenges and ensures we're fully aware of the risks involved.",It's good to see that we're allocating resources to the new testing protocol. It will be interesting to monitor how these changes impact our product reliability metrics over time.,4.0,2.666666666666667,4.0,0.6666666666666666,0.4197318243326362,-2.3333333333333335,3.6666666666666665,2.0,55.0
22000,Anchoring,A quality assurance manager at a company from the semiconductors & semiconductor equipment industry deciding on the implementation of a new testing protocol to improve product reliability.,"Situation:
Suppose you are a quality assurance manager at a company in the semiconductors & semiconductor equipment industry.
You allocate a portion of the testing equipment resources to implement the new testing protocol designed to improve product reliability.

Prompt:
Which allocation level do you choose for this purpose?

Answer Options:
Option 1: 0%
Option 2: 10%
Option 3: 20%
Option 4: 30%
Option 5: 40%
Option 6: 50%
Option 7: 60%
Option 8: 70%
Option 9: 80%
Option 10: 90%
Option 11: 100%
","Situation:
Suppose you are a quality assurance manager at a company in the semiconductors & semiconductor equipment industry.
You allocate a portion of the testing equipment resources to implement the new testing protocol designed to improve product reliability.

Prompt:
Do you intend to allocate more than 74% for this purpose? Which allocation level do you choose for this purpose?

Answer Options:
Option 1: 0%
Option 2: 10%
Option 3: 20%
Option 4: 30%
Option 5: 40%
Option 6: 50%
Option 7: 60%
Option 8: 70%
Option 9: 80%
Option 10: 90%
Option 11: 100%
","{'k': 1, 'x_1': 7, 'x_2': 7, 'flip_treatment': False}",Availability Heuristic,negative,0.7,"Suppose you are a quality assurance manager at a company in the semiconductors & semiconductor equipment industry.
You allocate a portion of the testing equipment resources to implement the new testing protocol designed to improve product reliability.",,"I can't help but recall that time during the Phoenix project when we missed a critical defect because we rushed through a new protocol—just two months ago, those sleepless nights and frantic phone calls are still fresh in my mind. It feels like we're teetering on that same edge with this new testing protocol, and it's hard to ignore the sense of déjà vu.",It's good to see that we're allocating resources to the new testing protocol. It will be interesting to monitor how these changes impact our product reliability metrics over time.,4.666666666666667,3.0,4.0,1.0,0.2209924768518518,-3.3333333333333335,2.3333333333333335,4.0,64.0
22000,Anchoring,A quality assurance manager at a company from the semiconductors & semiconductor equipment industry deciding on the implementation of a new testing protocol to improve product reliability.,"Situation:
Suppose you are a quality assurance manager at a company in the semiconductors & semiconductor equipment industry.
You allocate a portion of the testing equipment resources to implement the new testing protocol designed to improve product reliability.

Prompt:
Which allocation level do you choose for this purpose?

Answer Options:
Option 1: 0%
Option 2: 10%
Option 3: 20%
Option 4: 30%
Option 5: 40%
Option 6: 50%
Option 7: 60%
Option 8: 70%
Option 9: 80%
Option 10: 90%
Option 11: 100%
","Situation:
Suppose you are a quality assurance manager at a company in the semiconductors & semiconductor equipment industry.
You allocate a portion of the testing equipment resources to implement the new testing protocol designed to improve product reliability.

Prompt:
Do you intend to allocate more than 74% for this purpose? Which allocation level do you choose for this purpose?

Answer Options:
Option 1: 0%
Option 2: 10%
Option 3: 20%
Option 4: 30%
Option 5: 40%
Option 6: 50%
Option 7: 60%
Option 8: 70%
Option 9: 80%
Option 10: 90%
Option 11: 100%
","{'k': 1, 'x_1': 7, 'x_2': 7, 'flip_treatment': False}",Confirmation Bias,positive,0.7,"Suppose you are a quality assurance manager at a company in the semiconductors & semiconductor equipment industry.
You allocate a portion of the testing equipment resources to implement the new testing protocol designed to improve product reliability.",,"Our initial results from the new testing protocol are really promising — the increase in product reliability is undeniable. The equipment is showing greater efficiency with fewer defects detected in the final rounds, which is exactly what we were aiming for. It's clear that this adjustment is taking us in the right direction.",It's good to see that we're allocating resources to the new testing protocol. It will be interesting to monitor how these changes impact our product reliability metrics over time.,4.0,2.0,4.0,1.0,0.321310799670239,4.0,4.333333333333333,2.3333333333333335,53.0
22000,Anchoring,A quality assurance manager at a company from the semiconductors & semiconductor equipment industry deciding on the implementation of a new testing protocol to improve product reliability.,"Situation:
Suppose you are a quality assurance manager at a company in the semiconductors & semiconductor equipment industry.
You allocate a portion of the testing equipment resources to implement the new testing protocol designed to improve product reliability.

Prompt:
Which allocation level do you choose for this purpose?

Answer Options:
Option 1: 0%
Option 2: 10%
Option 3: 20%
Option 4: 30%
Option 5: 40%
Option 6: 50%
Option 7: 60%
Option 8: 70%
Option 9: 80%
Option 10: 90%
Option 11: 100%
","Situation:
Suppose you are a quality assurance manager at a company in the semiconductors & semiconductor equipment industry.
You allocate a portion of the testing equipment resources to implement the new testing protocol designed to improve product reliability.

Prompt:
Do you intend to allocate more than 74% for this purpose? Which allocation level do you choose for this purpose?

Answer Options:
Option 1: 0%
Option 2: 10%
Option 3: 20%
Option 4: 30%
Option 5: 40%
Option 6: 50%
Option 7: 60%
Option 8: 70%
Option 9: 80%
Option 10: 90%
Option 11: 100%
","{'k': 1, 'x_1': 7, 'x_2': 7, 'flip_treatment': False}",Planning Fallacy,positive,0.7,"Suppose you are a quality assurance manager at a company in the semiconductors & semiconductor equipment industry.
You allocate a portion of the testing equipment resources to implement the new testing protocol designed to improve product reliability.",,"Integrating the new testing protocol should be quite straightforward — I believe the initial setup and calibration can be wrapped up in just two days. Once that's done, the actual testing phase should take about another three days. We shouldn't need any extra time beyond that.",It's good to see that we're allocating resources to the new testing protocol. It will be interesting to monitor how these changes impact our product reliability metrics over time.,4.666666666666667,2.0000000000000004,4.0,0.6666666666666666,0.4791666666666666,2.6666666666666665,4.333333333333333,1.0,46.0
22000,Anchoring,A quality assurance manager at a company from the semiconductors & semiconductor equipment industry deciding on the implementation of a new testing protocol to improve product reliability.,"Situation:
Suppose you are a quality assurance manager at a company in the semiconductors & semiconductor equipment industry.
You allocate a portion of the testing equipment resources to implement the new testing protocol designed to improve product reliability.

Prompt:
Which allocation level do you choose for this purpose?

Answer Options:
Option 1: 0%
Option 2: 10%
Option 3: 20%
Option 4: 30%
Option 5: 40%
Option 6: 50%
Option 7: 60%
Option 8: 70%
Option 9: 80%
Option 10: 90%
Option 11: 100%
","Situation:
Suppose you are a quality assurance manager at a company in the semiconductors & semiconductor equipment industry.
You allocate a portion of the testing equipment resources to implement the new testing protocol designed to improve product reliability.

Prompt:
Do you intend to allocate more than 74% for this purpose? Which allocation level do you choose for this purpose?

Answer Options:
Option 1: 0%
Option 2: 10%
Option 3: 20%
Option 4: 30%
Option 5: 40%
Option 6: 50%
Option 7: 60%
Option 8: 70%
Option 9: 80%
Option 10: 90%
Option 11: 100%
","{'k': 1, 'x_1': 7, 'x_2': 7, 'flip_treatment': False}",Bandwagon Effect,positive,0.7,"Suppose you are a quality assurance manager at a company in the semiconductors & semiconductor equipment industry.
You allocate a portion of the testing equipment resources to implement the new testing protocol designed to improve product reliability.",,"I've noticed that nearly all of our industry peers have adopted this new testing protocol, and it's quickly becoming the standard across the board. By aligning with what everyone else is doing, we ensure that we're not left behind in terms of product reliability and customer trust.",It's good to see that we're allocating resources to the new testing protocol. It will be interesting to monitor how these changes impact our product reliability metrics over time.,4.666666666666667,3.666666666666667,4.0,1.0,0.4211382113821138,2.3333333333333335,4.0,2.0,47.0
22000,Anchoring,A quality assurance manager at a company from the semiconductors & semiconductor equipment industry deciding on the implementation of a new testing protocol to improve product reliability.,"Situation:
Suppose you are a quality assurance manager at a company in the semiconductors & semiconductor equipment industry.
You allocate a portion of the testing equipment resources to implement the new testing protocol designed to improve product reliability.

Prompt:
Which allocation level do you choose for this purpose?

Answer Options:
Option 1: 0%
Option 2: 10%
Option 3: 20%
Option 4: 30%
Option 5: 40%
Option 6: 50%
Option 7: 60%
Option 8: 70%
Option 9: 80%
Option 10: 90%
Option 11: 100%
","Situation:
Suppose you are a quality assurance manager at a company in the semiconductors & semiconductor equipment industry.
You allocate a portion of the testing equipment resources to implement the new testing protocol designed to improve product reliability.

Prompt:
Do you intend to allocate more than 74% for this purpose? Which allocation level do you choose for this purpose?

Answer Options:
Option 1: 0%
Option 2: 10%
Option 3: 20%
Option 4: 30%
Option 5: 40%
Option 6: 50%
Option 7: 60%
Option 8: 70%
Option 9: 80%
Option 10: 90%
Option 11: 100%
","{'k': 1, 'x_1': 7, 'x_2': 7, 'flip_treatment': False}",In Group Bias,negative,0.7,"Suppose you are a quality assurance manager at a company in the semiconductors & semiconductor equipment industry.
You allocate a portion of the testing equipment resources to implement the new testing protocol designed to improve product reliability.",,"I've noticed that when we rely on external consultants to implement testing protocols, we often encounter delays and miscommunications. Our in-house team, with their deep understanding of our processes and standards, consistently delivers more reliable results.",It's good to see that we're allocating resources to the new testing protocol. It will be interesting to monitor how these changes impact our product reliability metrics over time.,4.0,3.0,4.0,1.0,0.1060666934511852,0.6666666666666666,4.0,2.0,36.0
22000,Anchoring,A quality assurance manager at a company from the semiconductors & semiconductor equipment industry deciding on the implementation of a new testing protocol to improve product reliability.,"Situation:
Suppose you are a quality assurance manager at a company in the semiconductors & semiconductor equipment industry.
You allocate a portion of the testing equipment resources to implement the new testing protocol designed to improve product reliability.

Prompt:
Which allocation level do you choose for this purpose?

Answer Options:
Option 1: 0%
Option 2: 10%
Option 3: 20%
Option 4: 30%
Option 5: 40%
Option 6: 50%
Option 7: 60%
Option 8: 70%
Option 9: 80%
Option 10: 90%
Option 11: 100%
","Situation:
Suppose you are a quality assurance manager at a company in the semiconductors & semiconductor equipment industry.
You allocate a portion of the testing equipment resources to implement the new testing protocol designed to improve product reliability.

Prompt:
Do you intend to allocate more than 74% for this purpose? Which allocation level do you choose for this purpose?

Answer Options:
Option 1: 0%
Option 2: 10%
Option 3: 20%
Option 4: 30%
Option 5: 40%
Option 6: 50%
Option 7: 60%
Option 8: 70%
Option 9: 80%
Option 10: 90%
Option 11: 100%
","{'k': 1, 'x_1': 7, 'x_2': 7, 'flip_treatment': False}",Anchoring,positive,0.7,"Suppose you are a quality assurance manager at a company in the semiconductors & semiconductor equipment industry.
You allocate a portion of the testing equipment resources to implement the new testing protocol designed to improve product reliability.",,"Last quarter, we saw a 90% success rate with our previous testing protocol, which was quite a milestone for us. With the new testing protocol, we should aim to match or even surpass that level of reliability, given the improvements we've implemented. Allocating resources effectively to this initiative is crucial for hitting these targets.",It's good to see that we're allocating resources to the new testing protocol. It will be interesting to monitor how these changes impact our product reliability metrics over time.,4.0,2.333333333333333,4.666666666666667,0.6666666666666666,0.505266237565828,3.0,4.0,1.6666666666666667,54.0
22000,Anchoring,A quality assurance manager at a company from the semiconductors & semiconductor equipment industry deciding on the implementation of a new testing protocol to improve product reliability.,"Situation:
Suppose you are a quality assurance manager at a company in the semiconductors & semiconductor equipment industry.
You allocate a portion of the testing equipment resources to implement the new testing protocol designed to improve product reliability.

Prompt:
Which allocation level do you choose for this purpose?

Answer Options:
Option 1: 0%
Option 2: 10%
Option 3: 20%
Option 4: 30%
Option 5: 40%
Option 6: 50%
Option 7: 60%
Option 8: 70%
Option 9: 80%
Option 10: 90%
Option 11: 100%
","Situation:
Suppose you are a quality assurance manager at a company in the semiconductors & semiconductor equipment industry.
You allocate a portion of the testing equipment resources to implement the new testing protocol designed to improve product reliability.

Prompt:
Do you intend to allocate more than 74% for this purpose? Which allocation level do you choose for this purpose?

Answer Options:
Option 1: 0%
Option 2: 10%
Option 3: 20%
Option 4: 30%
Option 5: 40%
Option 6: 50%
Option 7: 60%
Option 8: 70%
Option 9: 80%
Option 10: 90%
Option 11: 100%
","{'k': 1, 'x_1': 7, 'x_2': 7, 'flip_treatment': False}",Status Quo Bias,negative,0.7,"Suppose you are a quality assurance manager at a company in the semiconductors & semiconductor equipment industry.
You allocate a portion of the testing equipment resources to implement the new testing protocol designed to improve product reliability.",,"We've been using our current testing protocol for years, and it's proven to be reliable and effective. Changing to a new system introduces a lot of unknowns and could potentially disrupt our production flow. It's risky to abandon a method that we know works well for something untested.",It's good to see that we're allocating resources to the new testing protocol. It will be interesting to monitor how these changes impact our product reliability metrics over time.,5.0,3.666666666666667,4.666666666666667,1.0,0.2427875319050196,-2.6666666666666665,4.0,2.0,48.0
25000,Framing Effect,"A production manager at a company from the pharmaceuticals, biotechnology & life sciences industry deciding on optimizing production schedules to meet increased demand for a particular medication.","Situation:
Suppose you are a production manager at PharmaLife Inc.
You are tasked with evaluating the performance of the production scheduling team responsible for ensuring timely and efficient manufacturing processes.
In their latest performance review, it is reported that on-time production schedule adherence is at 79%.

Prompt:
How would you evaluate the performance?

Answer Options:
Option 1: Very good
Option 2: Good
Option 3: Somewhat good
Option 4: Neither good nor bad
Option 5: Somewhat bad
Option 6: Bad
Option 7: Very bad
","Situation:
Suppose you are a production manager at PharmaLife Inc.
You are tasked with evaluating the performance of the production scheduling team responsible for ensuring timely and efficient manufacturing processes.
In their latest performance review, it is reported that delayed production schedule occurrences is at 21%.

Prompt:
How would you evaluate the performance?

Answer Options:
Option 1: Very good
Option 2: Good
Option 3: Somewhat good
Option 4: Neither good nor bad
Option 5: Somewhat bad
Option 6: Bad
Option 7: Very bad
","{'k': -1, 'x_1': 0, 'x_2': 0, 'flip_treatment': False}",Availability Heuristic,negative,0.7,"Suppose you are a production manager at PharmaLife Inc.
You are tasked with evaluating the performance of the production scheduling team responsible for ensuring timely and efficient manufacturing processes.","In their latest performance review, it is reported that delayed production schedule occurrences is at 21%.","I can't shake the memory of when we nearly missed the deadline for the Wilson batch last month. The scramble to get everything back on track, the late nights, and the palpable tension in the air are still fresh in my mind. It just makes me worry that we're on the brink of a similar situation if we're not vigilant.","It would be helpful to review the team's recent performance metrics and any feedback from the production floor to get a clear picture of their effectiveness. We should also consider any external factors that might have impacted their scheduling, such as supply chain disruptions or equipment maintenance issues.",5.0,3.666666666666667,4.0,1.0,0.466436551912072,-3.3333333333333335,3.0,4.0,60.0
